"ARO"	"ARO_name"	"resistance_to_drug_classes"	"confers_resistance_to"	"resistance_to_drug_classes_names"	"confers_resistance_to_names"
"ARO:3002185"	"MOX-6"	"ARO:0000032,ARO:3000008"	"ARO:"	"cephalosporin,penicillin beta-lactam"	""
"ARO:3002186"	"MOX-3"	"ARO:0000032,ARO:3000008"	"ARO:"	"cephalosporin,penicillin beta-lactam"	""
"ARO:3002188"	"MOX-5"	"ARO:0000032,ARO:3000008"	"ARO:"	"cephalosporin,penicillin beta-lactam"	""
"ARO:3002189"	"MOX-7"	"ARO:0000032,ARO:3000008"	"ARO:"	"cephalosporin,penicillin beta-lactam"	""
"ARO:3002190"	"MOX-8"	"ARO:0000032,ARO:3000008"	"ARO:"	"cephalosporin,penicillin beta-lactam"	""
"ARO:3002191"	"MOX-9"	"ARO:0000032,ARO:3000008"	"ARO:"	"cephalosporin,penicillin beta-lactam"	""
"ARO:3002192"	"IMP-1"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002193"	"IMP-2"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002194"	"IMP-3"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002195"	"IMP-4"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002196"	"IMP-5"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002197"	"IMP-6"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002198"	"IMP-7"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002199"	"IMP-8"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002200"	"IMP-9"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002201"	"IMP-10"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002202"	"IMP-11"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002203"	"IMP-12"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002204"	"IMP-13"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002205"	"IMP-14"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002206"	"IMP-15"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002207"	"IMP-16"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002208"	"IMP-17"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002209"	"IMP-18"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002210"	"IMP-19"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002211"	"IMP-20"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002212"	"IMP-21"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002213"	"IMP-22"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002214"	"IMP-23"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002215"	"IMP-24"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002216"	"IMP-25"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002217"	"IMP-26"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002218"	"IMP-27"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002219"	"IMP-28"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002220"	"IMP-29"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002221"	"IMP-30"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002222"	"IMP-31"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002223"	"IMP-32"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002224"	"IMP-33"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002225"	"IMP-34"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002226"	"IMP-35"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002228"	"IMP-37"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002229"	"IMP-38"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002230"	"IMP-39"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002231"	"IMP-40"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002232"	"IMP-41"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002233"	"IMP-42"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002234"	"IMP-43"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002235"	"IMP-44"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002236"	"IMP-45"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002237"	"IMP-46"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002239"	"IMP-48"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002240"	"CARB-1"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002241"	"CARB-2"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002242"	"CARB-3"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002243"	"CARB-4"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002244"	"CARB-5"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002245"	"CARB-6"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002246"	"CARB-7"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002247"	"CARB-8"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002248"	"CARB-9"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002249"	"CARB-10"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002250"	"CARB-12"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002252"	"CARB-14"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002254"	"CARB-17"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002255"	"CARB-16"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3002256"	"IND-1"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002257"	"IND-2"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002258"	"IND-2a"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002259"	"IND-3"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002260"	"IND-4"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002261"	"IND-5"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002262"	"IND-6"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002263"	"IND-7"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002264"	"IND-8"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002265"	"IND-9"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002266"	"IND-10"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002267"	"IND-11"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002268"	"IND-12"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002269"	"IND-14"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002270"	"IND-15"	"ARO:0000020"	"ARO:"	"carbapenem"	""
"ARO:3002271"	"VIM-1"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002272"	"VIM-2"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002273"	"VIM-3"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002274"	"VIM-4"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002275"	"VIM-5"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002276"	"VIM-6"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002277"	"VIM-7"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002278"	"VIM-8"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002279"	"VIM-9"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002280"	"VIM-10"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002281"	"VIM-11"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002282"	"VIM-12"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002283"	"VIM-13"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002284"	"VIM-14"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002285"	"VIM-15"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002286"	"VIM-16"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002287"	"VIM-17"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002288"	"VIM-18"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002289"	"VIM-19"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002290"	"VIM-20"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002293"	"VIM-23"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002294"	"VIM-24"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002295"	"VIM-25"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002296"	"VIM-26"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002297"	"VIM-27"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002298"	"VIM-28"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002299"	"VIM-29"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002300"	"VIM-30"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002301"	"VIM-31"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002302"	"VIM-32"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002303"	"VIM-33"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002304"	"VIM-34"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002305"	"VIM-35"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002306"	"VIM-36"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002307"	"VIM-37"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002308"	"VIM-38"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002309"	"VIM-39"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002310"	"VIM-40"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002311"	"VIM-41"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002312"	"KPC-2"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002313"	"KPC-3"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002314"	"KPC-4"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002315"	"KPC-5"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002316"	"KPC-6"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002317"	"KPC-7"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002318"	"KPC-8"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002319"	"KPC-9"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002320"	"KPC-10"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002321"	"KPC-11"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002322"	"KPC-12"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002323"	"KPC-13"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002324"	"KPC-14"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002325"	"KPC-15"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002326"	"KPC-16"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002327"	"KPC-17"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002328"	"KPC-18"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002329"	"KPC-19"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002330"	"GES-1"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002331"	"GES-2"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002332"	"GES-3"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002333"	"GES-4"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002334"	"GES-5"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002335"	"GES-6"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002336"	"GES-7"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002337"	"GES-8"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002338"	"GES-9"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002339"	"GES-10"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002340"	"GES-11"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002341"	"GES-12"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002342"	"GES-13"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002343"	"GES-14"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002344"	"GES-15"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002345"	"GES-16"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002346"	"GES-17"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002347"	"GES-18"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002348"	"GES-19"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002349"	"GES-20"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002350"	"GES-21"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002351"	"GES-22"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002352"	"GES-23"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002353"	"GES-24"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002354"	"NDM-3"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002355"	"NDM-4"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:3003832"	"carbapenem,cephalosporin,penicillin beta-lactam"	"ticarcillin"
"ARO:3002356"	"NDM-6"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002357"	"NDM-7"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002358"	"NDM-8"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002359"	"NDM-9"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:0000059"	"carbapenem,cephalosporin,penicillin beta-lactam"	"cefepime"
"ARO:3002360"	"NDM-10"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002361"	"NDM-11"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002362"	"NDM-12"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002363"	"PER-1"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002364"	"PER-2"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002365"	"PER-3"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002366"	"PER-4"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002367"	"PER-5"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002368"	"PER-6"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002369"	"PER-7"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam"	""
"ARO:3002370"	"VEB-1"	"ARO:0000004,ARO:0000032"	"ARO:"	"monobactam,cephalosporin"	""
"ARO:3002371"	"VEB-2"	"ARO:0000004,ARO:0000032"	"ARO:"	"monobactam,cephalosporin"	""
"ARO:3002372"	"VEB-3"	"ARO:0000004,ARO:0000032"	"ARO:"	"monobactam,cephalosporin"	""
"ARO:3002373"	"VEB-4"	"ARO:0000004,ARO:0000032"	"ARO:"	"monobactam,cephalosporin"	""
"ARO:3002374"	"VEB-6"	"ARO:0000004,ARO:0000032"	"ARO:"	"monobactam,cephalosporin"	""
"ARO:3002375"	"VEB-5"	"ARO:0000004,ARO:0000032"	"ARO:"	"monobactam,cephalosporin"	""
"ARO:3002376"	"VEB-7"	"ARO:0000004,ARO:0000032"	"ARO:"	"monobactam,cephalosporin"	""
"ARO:3002377"	"VEB-8"	"ARO:0000004,ARO:0000032"	"ARO:"	"monobactam,cephalosporin"	""
"ARO:3002378"	"VEB-9"	"ARO:0000004,ARO:0000032"	"ARO:"	"monobactam,cephalosporin"	""
